Entity,Code,Year,Under-five mortality rate (selected)
United Kingdom,GBR,1990,0.93
United Kingdom,GBR,1991,0.87
United Kingdom,GBR,1992,0.82
United Kingdom,GBR,1993,0.77
United Kingdom,GBR,1994,0.74
United Kingdom,GBR,1995,0.72
United Kingdom,GBR,1996,0.7
United Kingdom,GBR,1997,0.69
United Kingdom,GBR,1998,0.68
United Kingdom,GBR,1999,0.67
United Kingdom,GBR,2000,0.65
United Kingdom,GBR,2001,0.64
United Kingdom,GBR,2002,0.63
United Kingdom,GBR,2003,0.63
United Kingdom,GBR,2004,0.61
United Kingdom,GBR,2005,0.6
United Kingdom,GBR,2006,0.59
United Kingdom,GBR,2007,0.58
United Kingdom,GBR,2008,0.56
United Kingdom,GBR,2009,0.54
United Kingdom,GBR,2010,0.52
United Kingdom,GBR,2011,0.5
United Kingdom,GBR,2012,0.48
United Kingdom,GBR,2013,0.46
United Kingdom,GBR,2014,0.45
United Kingdom,GBR,2015,0.45
United Kingdom,GBR,2016,0.44
United Kingdom,GBR,2017,0.44
United Kingdom,GBR,2018,0.44
United Kingdom,GBR,2019,0.44
United Kingdom,GBR,2020,0.44
United Kingdom,GBR,2021,0.44
United Kingdom,GBR,2022,0.45
United Kingdom,GBR,2023,0.45
United States,USA,1933,7.31
United States,USA,1934,7.97
United States,USA,1935,7.53
United States,USA,1936,7.6
United States,USA,1937,7.36
United States,USA,1938,6.96
United States,USA,1939,6.29
United States,USA,1940,6.19
United States,USA,1941,6.04
United States,USA,1942,5.48
United States,USA,1943,5.37
United States,USA,1944,5.03
United States,USA,1945,4.83
United States,USA,1946,4.67
United States,USA,1947,4.28
United States,USA,1948,3.98
United States,USA,1949,3.87
United States,USA,1950,3.76
United States,USA,1951,3.66
United States,USA,1952,3.56
United States,USA,1953,3.47
United States,USA,1954,3.38
United States,USA,1955,3.3
United States,USA,1956,3.23
United States,USA,1957,3.17
United States,USA,1958,3.11
United States,USA,1959,3.06
United States,USA,1960,3.01
United States,USA,1961,2.95
United States,USA,1962,2.89
United States,USA,1963,2.83
United States,USA,1964,2.77
United States,USA,1965,2.71
United States,USA,1966,2.64
United States,USA,1967,2.57
United States,USA,1968,2.49
United States,USA,1969,2.41
United States,USA,1970,2.32
United States,USA,1971,2.24
United States,USA,1972,2.15
United States,USA,1973,2.06
United States,USA,1974,1.97
United States,USA,1975,1.88
United States,USA,1976,1.79
United States,USA,1977,1.71
United States,USA,1978,1.63
United States,USA,1979,1.56
United States,USA,1980,1.5
United States,USA,1981,1.44
United States,USA,1982,1.39
United States,USA,1983,1.34
United States,USA,1984,1.3
United States,USA,1985,1.27
United States,USA,1986,1.24
United States,USA,1987,1.21
United States,USA,1988,1.19
United States,USA,1989,1.16
United States,USA,1990,1.12
United States,USA,1991,1.09
United States,USA,1992,1.05
United States,USA,1993,1.01
United States,USA,1994,0.98
United States,USA,1995,0.95
United States,USA,1996,0.92
United States,USA,1997,0.89
United States,USA,1998,0.87
United States,USA,1999,0.86
United States,USA,2000,0.84
United States,USA,2001,0.83
United States,USA,2002,0.82
United States,USA,2003,0.81
United States,USA,2004,0.81
United States,USA,2005,0.8
United States,USA,2006,0.79
United States,USA,2007,0.77
United States,USA,2008,0.76
United States,USA,2009,0.75
United States,USA,2010,0.73
United States,USA,2011,0.72
United States,USA,2012,0.7
United States,USA,2013,0.69
United States,USA,2014,0.68
United States,USA,2015,0.68
United States,USA,2016,0.67
United States,USA,2017,0.66
United States,USA,2018,0.65
United States,USA,2019,0.65
United States,USA,2020,0.65
United States,USA,2021,0.65
United States,USA,2022,0.65
United States,USA,2023,0.65
